,date,AAPL,JPM,XOM,F,LMT
465,2022-11-18,151.29,133.84,112.08,13.99,476.82
466,2022-11-21,148.01,133.05,110.97,13.95,480.94
467,2022-11-22,150.18,135.04,114.18,14.07,479.5
468,2022-11-23,151.07,136.48,113.61,14.03,481.07
469,2022-11-25,148.11,136.74,113.21,14.08,483.46
470,2022-11-28,144.22,134.35,109.81,13.73,483.21
471,2022-11-29,141.17,136.56,110.54,13.75,484.1
472,2022-11-30,148.03,138.18,111.34,13.9,485.19
473,2022-12-01,148.31,136.24,110.8,14.08,483.69
474,2022-12-02,147.81,135.16,109.86,13.86,496.23
475,2022-12-05,146.63,131.37,106.85,13.38,490.67
476,2022-12-06,142.91,131.59,103.88,13.28,484.0
477,2022-12-07,140.94,131.5,103.65,13.1,481.2
